,date,target,volume,trend_sma_fast,trend_sma_slow,trend_adx,volume_obv,trend_ema_fast,trend_ema_slow,trend_macd,momentum_rsi,trend_aroon_ind
795,2019-04-14,5131.3,18281.607739,5256.9275,5446.300769230769,44.51931370188303,-4107203.757625003,5262.750935827386,5668.790983156852,-406.0400473294667,31.58957360457856,-92.0
796,2019-04-13,5045.22,17292.456802,5242.370833333333,5401.533076923077,45.15456191491391,-4124496.2144270027,5229.284638007788,5622.600539960049,-393.3159019522609,29.930075918201652,-88.0
797,2019-04-12,5048.01,33276.678614,5211.788333333333,5365.406923076924,46.126965199929714,-4091219.535813003,5201.396232160436,5580.038277740786,-378.64204558035,30.058325377326412,-76.0
798,2019-04-11,5017.37,54696.600686,5172.126666666667,5333.5234615384625,44.99576066378099,-4145916.136499003,5173.084504135753,5538.359146056284,-365.2746419205305,29.421446052313414,-92.0
799,2019-04-10,5308.25,40073.620471,5168.052500000001,5316.618076923077,43.34914115644093,-4105842.516028003,5193.879195807176,5521.314024126189,-327.4348283190129,41.98809017749685,-92.0
800,2019-04-09,5150.0,34067.012311,5159.2075,5292.555769230769,42.06044845510346,-4139909.5283390027,5187.12855029838,5493.809281598324,-306.68073129994355,38.021723174287764,-88.0
801,2019-04-08,5236.9,50178.430782,5154.638333333333,5269.765384615384,40.41324839577643,-4089731.0975570027,5194.785696406322,5474.778964442892,-279.99326803657004,41.300857971421244,-48.0
802,2019-04-07,5170.27,37615.486804,5147.270833333333,5246.595384615384,38.94428726071567,-4127346.584361003,5191.01405080535,5452.22274485453,-261.20869404917994,39.57206416807706,-48.0
803,2019-04-06,5043.89,41770.842313,5129.391666666666,5229.326923076923,38.026306644782416,-4169117.426674003,5168.37958145068,5421.975874865305,-253.5962934146246,36.45507468470507,-48.0
804,2019-04-05,5004.95,39768.552806,5112.9025,5214.778846153846,37.383368960229134,-4208885.979480003,5143.236568919807,5391.085069319727,-247.84850039992034,35.52653230427815,-72.0
805,2019-04-04,4898.66,61054.254168,5089.980833333334,5198.542307692308,37.21476431393656,-4269940.233648003,5105.609404470606,5354.609138259007,-248.9997337884006,33.051843629041755,-76.0
806,2019-04-03,4932.6,109890.125743,5082.285,5186.790769230769,35.402799606708335,-4160050.1079050032,5078.99257301359,5323.349202091673,-244.35662907808273,34.61798220179655,-76.0
