,target,5. volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
650,10298.73,58799.640959,6336340.949179439,-3265685.707363001,-0.012783456089894061,201928.7970556945,67.97648343876156,134527684.54004142,17684054.696392637,-684.8737962425743,550.4681842357135,10270.581152592167,442.56089616049604,10036.959499999999,11138.824970125745,8935.094029874253,21.956160531000364,0.6187851453272817,0.0,0.0,10306.240000000002,10672.901000000002,9939.579,7.115320427236332,0.48975893263804837,0.0,0.0,7800.0,10905.87,9352.935000000001,30.944331298736444,0.8045185406987411,1.191588937552037,429.78112211761436,460.78677133442727,-31.005649216812913,10294.051666666666,9607.893846153846,10191.055686961441,9761.274564843827,24.70547463007858,21.82570534113423,9.794751656587101,0.9932110233628831,0.851744929582212,0.1414660937806711,0.7702858212862401,25.353612799945598,83.57421592346208,150.86050000000068,223.31540208815704,226.6071241848522,-3.2917220966951675,10392.935000000001,9307.935000000001,9850.435000000001,9102.935000000001,8525.5,8580.0,96.0,8.0,88.0,9946.9192,10448.81,0.0,0.0,54.13304559339328,65.34125305477905,0.009222583717104818,0.3120557467563497,0.3202884560923327,39.865922606194346,50.909507427967945,51.540064013026026,71.5018237148263,-48.459935986973974,1095.1440294117656,10280.917828568729,1.3954921684475399,-1.8380704891516912,-7.876897760554262,6.038827271402571,-1.5029820541169192,-1.5143912929421077,-73.31590275530438
651,10564.49,33970.960639,6319655.9231340345,-3231714.746724001,-0.02317034116653624,1462813.611679259,77.55291002941557,194811240.99865296,51108590.69202634,-7.123215288984284,564.6730837371551,10320.370838668767,458.4318065444465,10143.6815,10984.9752837447,9302.387716255302,16.587543363712648,0.7500960473801022,0.0,0.0,10339.584333333334,10740.460333333334,9938.708333333334,7.7541995321346455,0.7805177494620101,0.0,0.0,7800.0,10905.87,9352.935000000001,30.618764991783316,0.890085547688731,1.191588937552037,427.73511525157846,454.17644011785757,-26.441324866279103,10325.440833333332,9695.280384615384,10248.507119736603,9820.772004485025,25.658512654834926,19.801996217422648,8.886568943492048,1.105149273840981,0.8292450439797776,0.27590422986120333,0.7559879349956115,25.38783788560753,144.92968751979376,107.6284999999989,218.52887455707614,228.3212648698085,-9.792390312732351,10392.935000000001,9307.935000000001,9850.435000000001,9102.935000000001,8525.5,8835.0,100.0,4.0,96.0,10004.456248,10448.81,0.0,0.0,52.173396466682846,69.71862304300875,0.402236200900557,0.308826119779215,0.3437077576941842,39.8934780839943,45.82283760469972,66.722879117237,67.90705519633921,-33.27712088276299,1129.2126764705881,10291.709958182184,3.697258098395929,-1.9019058821216832,-6.681899384867746,4.779993502746063,2.5805123544359265,2.5477790642133513,-72.62731632923531
652,10567.02,43943.889026,6316087.037457737,-3187770.857698001,0.015711661380573082,1269722.815615909,68.57468352964204,-88426529.6296586,35948500.8654104,887.148585036061,564.6730837371551,10353.798698223623,455.4996258900019,10247.3755,10642.028634404778,9852.722365595222,7.7025211851518085,0.9049689108412798,0.0,0.0,10364.87,10788.891,9940.848999999998,8.181887471815868,0.7383726277707957,0.0,0.0,9615.77,10905.87,10260.82,12.589565006181342,0.737345942175025,1.169620344624213,421.4594675331555,447.63304560091717,-26.173578067761696,10351.75,9782.883461538462,10297.509101315587,9876.049633782432,26.106469835718837,18.484721102198588,9.537310680644477,0.9991933376940134,0.8445601783429287,0.15463315935108468,0.7409047245024801,25.425841078218134,141.8771441471227,54.634500000000116,210.9990583024273,227.81395429804752,-16.81489599562022,10392.935000000001,9327.935000000001,9860.435000000001,9102.935000000001,8077.25,8835.0,100.0,12.0,88.0,10058.54107312,10448.81,0.0,0.0,63.74700873831603,69.75778186602652,0.40575199936407347,0.27240359466057834,0.29776182039871424,39.92674008270423,45.08978669424598,66.96949905933499,61.744147396532696,-33.03050094066501,1121.3231470588235,10300.920048909358,3.0797039597866123,0.3176320196801695,-5.281993103958164,5.599625123638333,0.023948150833597026,0.023945283721538146,-72.62076107766264
653,10615.28,47998.376781,6333864.63984393,-3139772.480917001,0.07383301610367089,1419248.3653066463,59.99598477050405,-64657280.269287646,30299408.47759355,229.7342417986726,564.6730837371551,10381.686149748977,460.0496633010017,10293.027,10632.221989291611,9953.83201070839,6.5907723605817985,0.9750261798869838,0.0,0.0,10389.077333333335,10834.598333333333,9943.556333333332,8.576719292877865,0.7538630801540978,0.0,0.0,9653.0,10905.87,10279.435000000001,12.172026751702884,0.7680605330161948,1.1603049379895287,415.58949319498424,441.2243351197306,-25.634841924746354,10377.855833333333,9881.78576923077,10346.39693188242,9930.807438687436,26.00312777639028,17.057968733661596,10.309290024141768,0.9767535335057806,0.8620682263158645,0.1146853071899161,0.7253855735209607,25.504227955708178,123.7307620848103,41.99300000000039,201.71286526884637,225.0444271040264,-23.331561835180025,10392.935000000001,9327.935000000001,9860.435000000001,9102.935000000001,8072.3775000000005,8835.0,100.0,8.0,92.0,10109.380808732802,10448.81,0.0,0.0,75.81053329163153,70.54036915656951,0.4760150711731999,0.42800109047927665,0.33641026830635656,40.16756123598889,48.6788047244959,71.67379882441244,68.4553923336615,-28.326201175587542,1072.4925588235292,10313.397974797645,3.040862899570088,2.8545063170367535,-3.65469321975918,6.509199536795934,0.4567039714129528,0.45566424327674326,-72.49571900616168
654,10340.0,44740.248093,6365258.644438,-3184512.7290100013,0.10277390874639886,-542943.6147430274,52.26516453548278,-727358226.3637806,-22678818.314344376,-941.0128355727916,550.0297388144434,10371.17243079023,504.3226969709016,10308.583499999999,10625.712386113424,9991.454613886573,6.152715086673651,0.549532700071927,0.0,0.0,10375.7,10854.09,9897.31,9.221353739988633,0.4626873471435442,0.0,0.0,9653.0,10905.87,10279.435000000001,12.153658162637,0.5483410090432363,1.3515391933052094,384.2947897312315,429.83842604203085,-45.54363631079934,10378.270833333334,9964.139230769231,10345.412788515894,9961.117998784663,24.63965975893499,14.835806568708055,17.03987462090879,0.8706701244613262,0.9141335749933317,-0.04346345053200551,0.7029586512010324,25.64551267317453,-61.49533678714281,33.47650000000067,188.95976119244594,219.9831250842691,-31.023363891823152,10309.185000000001,9327.935000000001,9818.560000000001,9102.935000000001,8072.3775000000005,8835.0,96.0,4.0,92.0,10109.380808732802,10905.87,0.0,1.0,37.905266645815765,60.86516807144284,0.0,0.2939223568457577,0.33144234732853745,37.50145578002866,51.70142713845205,52.582183229006894,63.741827037584805,-47.417816770993106,941.9733529411769,10313.64438857556,0.04818568324008626,4.0473958775486265,-2.1142754002976187,6.161671277846246,-2.5932429479015195,-2.6274603494359283,-73.2089718334054
655,9724.98,19545.404843,6371561.091754472,-3204058.1338530015,0.12437079641763774,-2182639.5107142907,48.55928924172183,-644333033.8337982,-72526080.73299769,-2322.7779597389717,517.3141401717297,10346.50207914443,535.8904272738114,10295.513,10679.237194286126,9911.788805713875,7.454202511057498,-0.24341546414790427,0.0,1.0,10333.821666666667,10801.911666666667,9865.731666666667,9.059378322927646,-0.15034679940467321,0.0,1.0,9520.0,10905.87,10212.935000000001,13.460912535392852,0.14790709085267698,2.6174473020351345,306.3352951116958,405.13779985596386,-98.80250474426805,10326.8475,10023.641923076922,10249.961590282679,9943.626295170983,23.944034619889642,13.15898300801921,17.767276414337356,0.757645715241538,0.9396446683672364,-0.18199895312569836,0.6628027995045719,25.5321040042911,-254.28212775794825,119.49699999999939,171.6704440386606,212.6688898823572,-40.9984458436966,10212.935000000001,9327.935000000001,9770.435000000001,9307.935000000001,8174.8775000000005,8835.0,92.0,4.0,88.0,10109.380808732802,10882.002600000002,0.0,0.0,18.952633322907882,45.763085697520935,0.0,0.15867169039106652,0.29353171257203353,29.342105672238674,48.12026898939377,14.790709085267698,46.348897046229034,-85.20929091473229,725.0097352941157,10287.447492956428,-5.96670295859819,-0.40663128281540956,-1.772746576801177,1.3661152939857675,-5.947969052224378,-6.132203613315745,-74.80249389752717
656,9587.47,17130.290074,6376086.564200469,-3221188.4239270017,0.13383144441727096,-2207346.178908784,44.448048902567514,-188416606.26044106,-86886038.97829197,-1404.7747887749817,509.9993829778831,10319.785286586091,512.7243845464302,10266.457,10757.283182187264,9775.630817812736,9.561744274334638,-0.1916776494829982,0.0,1.0,10275.708,10726.975,9824.441,8.783180682051297,-0.2625618536254606,0.0,1.0,9420.75,10905.87,10163.310000000001,14.46574996612756,0.11226028873087647,3.680669474767649,230.7954597817261,370.2693318411163,-139.4738720593902,10257.885833333334,10082.247307692307,10148.039807162266,9917.24434738054,23.57449566697245,12.590406607820595,18.409180847710456,0.7457061705602499,0.9639920471490449,-0.21828587658879495,0.6087204243222237,25.340369552203303,-243.55807981328434,-108.12700000000041,154.8016739481187,203.42802924289458,-48.62635529477589,10163.310000000001,9352.935000000001,9758.122500000001,9307.935000000001,8174.8775000000005,8835.0,88.0,4.0,84.0,10109.380808732802,10827.522496000001,0.0,0.0,9.476316661453941,43.18313221453101,0.0,0.0,0.1508646824122746,21.944281702108086,47.880564309912316,11.226028873087646,26.19964039578743,-88.77397112691236,458.3614705882337,10250.44777194329,-7.945647675806368,-4.725244573632205,-2.3632461761673826,-2.361998397464822,-1.413987483778889,-1.4240795332963074,-75.15878348004055
657,9584.54,26834.318104,6385611.625116057,-3248022.7420310015,0.09859313944876154,-1903243.089356769,44.95405275739609,-37895450.55920109,-87895442.44428134,-250.42091878789793,509.9993829778831,10276.909793945679,496.01094609178716,10233.469500000001,10807.456890362811,9659.48210963719,11.217845333155296,-0.06528201742360559,0.0,1.0,10201.685666666668,10646.361666666668,9757.009666666667,8.7176965558339,-0.1939273388564548,0.0,1.0,9350.41,10905.87,10128.14,15.199732602906579,0.15052138917104965,4.503538404562446,168.74794822939475,329.965055118772,-161.21710688937725,10210.07,10126.650769230771,10061.347529137302,9892.599580907907,23.425962165902156,11.958314610884473,18.50679887402407,0.7476978886339984,0.9653532063387451,-0.21765531770474666,0.5467125179710655,24.64147733451762,-208.01366187545304,-135.31950000000143,136.73526788042693,192.79620098776647,-56.06093310733954,10128.14,9352.935000000001,9740.5375,9307.935000000001,8232.3775,8835.0,84.0,100.0,-16.0,10109.380808732802,10743.116146240001,0.0,0.0,4.738158330726971,43.12734081217171,0.0,0.0,0.05289056346368873,16.22044820340246,51.85902577475641,15.052138917104964,13.689625625153454,-84.94786108289505,207.9750882352946,10179.844740623654,-5.648467809177286,-5.913437450278716,-3.0732844309896494,-2.8401530192890663,-0.030560721441619254,-0.030565392181713946,-75.16637513502393
658,9498.44,35532.69491,6381467.316739425,-3283555.4369410016,0.10094280893829252,-2068403.3668416613,45.11366671055891,-1370062.139201731,-83627728.56165855,-327.398660297245,509.9993829778831,10218.793139866348,486.80985148260845,10200.542,10857.815530320897,9543.268469679102,12.8870314993242,-0.034101837067145514,0.0,1.0,10113.711,10560.337,9667.085000000001,8.832089427906322,-0.18879890557200063,0.0,1.0,9320.0,10905.87,10112.935000000001,15.54691897744258,0.11251868059803163,5.309282451854981,111.34379589375567,286.24080327376873,-174.89700738001306,10160.094166666666,10165.316153846154,9974.746370808485,9863.40257491473,23.37426001379407,11.247430610946466,17.854098078671054,0.7591653655154531,0.9627664071879913,-0.20360104167253823,0.4794757317892532,24.232259866592358,-174.41842227619378,102.57800000000134,120.26856882941345,180.77687956728585,-60.50831073787239,10112.935000000001,10112.935000000001,10112.935000000001,9307.935000000001,8752.494999999999,8835.0,80.0,100.0,-20.0,10109.380808732802,10631.699654540802,0.0,0.0,2.3690791653634853,41.4333037176627,0.0,0.0,0.0,11.012793880333138,51.351701126307105,11.251868059803163,12.510011949998608,-88.74813194019684,-29.167117647059058,10079.516727484419,-5.93881057421408,-4.667956247053122,-3.392218794202344,-1.275737452850778,-0.8983216721929366,-0.902380909619005,-75.38946096917711
659,9721.0,42110.555375,6353835.036237837,-3241444.8815660016,0.06250934896604066,-434042.1423985702,52.5836159603693,709425955.7720212,-18376543.16123289,667.5036228707744,509.9993829778831,10196.244085222866,518.1848663343476,10177.201,10866.97561582207,9487.426384177928,13.555291200833524,0.16931154790590508,0.0,0.0,10057.663,10547.145,9568.181,9.73351364029596,0.15610277803882422,0.0,0.0,9320.0,10905.87,10112.935000000001,15.58257520903833,0.2528580526777099,5.729225745784238,82.85423157502191,245.56348893401938,-162.70925735899746,10111.584166666666,10166.037307692306,9935.708467607179,9852.854236032157,22.172915232284797,18.06713767121246,15.844108616701902,0.8303981482864995,0.8674799608249579,-0.037081812538458436,0.415382235447676,24.163904529506674,-71.88168348930185,203.97900000000118,105.62403309225199,167.70006078996303,-62.07602769771104,10110.0,10112.935000000001,10111.4675,9307.935000000001,8879.994999999999,8835.0,76.0,96.0,-20.0,10109.380808732802,10500.529689086721,0.0,0.0,1.1845395826817426,47.206056783629194,0.1954116696565826,0.06513722321886076,0.021712407739620142,8.292598564155657,48.05104476635372,25.28580526777099,17.196604081559723,-74.71419473222902,-102.87141176470686,10045.378651037328,-5.649939047589475,-2.0855986196359573,-3.130894759289067,1.0452961396531095,2.343121607337628,2.3160919242776856,-74.81280611146363
